구분,고급휘발유,보통휘발유,자동차용경유,실내등유,보일러등유
10년01월1주,1701.33,1584.14,1360.57,906.21,904.83
10년01월2주,1712.71,1597.16,1373.69,917.94,910.17
10년01월3주,1703.21,1583.76,1352.68,889.68,883.62
10년01월4주,1667.09,1556.60,1317.67,859.49,852.05
10년02월1주,1690.77,1570.51,1321.05,863.52,857.56
10년02월2주,1690.33,1579.44,1327.14,862.33,857.21
10년02월3주,1679.33,1568.40,1328.53,854.38,845.49
10년02월4주,1683.33,1574.61,1334.09,858.88,854.14
10년03월1주,1707.52,1599.75,1362.11,890.95,885.56
10년03월2주,1725.14,1612.36,1375.26,898.51,892.06
10년03월3주,1734.82,1620.30,1385.63,906.35,897.86
10년03월4주,1722.69,1616.00,1378.00,902.66,897.19
10년03월5주,1712.43,1604.81,1362.46,890.74,882.32
10년04월1주,1741.92,1637.76,1406.90,933.45,927.22
10년04월2주,1749.20,1643.46,1423.42,952.97,944.88
10년04월3주,1738.81,1633.59,1420.85,950.24,939.26
10년04월4주,1729.67,1615.59,1401.80,932.88,924.11
10년05월1주,1743.70,1644.65,1435.37,965.55,957.47
10년05월2주,1745.18,1633.35,1436.79,964.54,953.39
10년05월3주,1707.81,1602.87,1410.00,935.26,927.19
10년05월4주,1665.20,1564.64,1366.65,894.06,887.66
10년06월1주,1675.58,1568.35,1368.17,900.14,893.00
10년06월2주,1700.01,1598.92,1399.44,937.71,926.84
10년06월3주,1714.42,1612.85,1414.59,948.90,938.70
10년06월4주,1727.69,1621.28,1417.99,950.64,941.52
10년06월5주,1711.72,1615.57,1410.13,944.08,935.41
10년07월1주,1716.28,1618.16,1424.84,955.24,947.68
10년07월2주,1685.12,1589.63,1387.97,915.16,907.47
10년07월3주,1687.61,1589.89,1383.59,911.56,902.41
10년07월4주,1686.76,1584.29,1374.34,908.35,902.74
10년08월1주,1698.69,1604.92,1411.00,943.53,928.07
10년08월2주,1705.37,1608.32,1420.32,953.48,941.28
10년08월3주,1687.97,1588.82,1401.52,931.35,917.65
10년08월4주,1658.09,1561.91,1367.36,893.44,887.62
10년09월1주,1660.57,1556.74,1358.49,890.96,883.83
10년09월2주,1690.56,1582.35,1403.63,929.31,925.39
10년09월3주,1674.83,1575.66,1390.29,926.28,918.93
10년09월4주,1677.71,1574.10,1384.30,919.73,908.22
10년09월5주,1669.16,1562.61,1364.28,903.39,899.99
10년10월1주,1687.09,1586.44,1400.82,934.45,929.23
10년10월2주,1701.54,1601.78,1422.63,961.07,950.44
10년10월3주,1718.72,1615.47,1426.51,967.48,957.63
10년10월4주,1696.90,1593.64,1395.47,936.07,930.97
10년11월1주,1698.81,1592.92,1395.54,940.01,938.38
10년11월2주,1715.01,1613.15,1426.05,967.78,961.77
10년11월3주,1726.96,1621.90,1434.26,980.56,974.79
10년11월4주,1734.83,1629.38,1433.65,967.90,967.35
10년12월1주,1738.63,1627.49,1425.58,967.34,965.25
10년12월2주,1781.02,1673.19,1477.48,1022.99,1018.90
10년12월3주,1813.46,1705.32,1508.28,1047.78,1043.23
10년12월4주,1793.96,1714.20,1510.47,1049.69,1047.28
10년12월5주,1804.67,1696.71,1486.03,1023.40,1015.54
11년01월1주,1862.80,1733.40,1520.10,1059.55,1060.22
11년01월2주,1854.68,1740.35,1536.16,1068.98,1065.97
11년01월3주,1852.28,1737.52,1537.04,1076.36,1074.59
11년01월4주,1851.87,1737.03,1539.13,1088.29,1089.50
11년02월1주,1835.13,1721.72,1526.04,1076.05,1069.44
11년02월2주,1855.95,1745.47,1555.48,1114.39,1111.58
11년02월3주,1855.41,1741.77,1571.76,1108.62,1107.61
11년02월4주,1862.95,1753.65,1587.59,1106.77,1105.31
11년03월1주,1889.47,1789.89,1618.31,1137.37,1135.15
11년03월2주,1961.27,1841.81,1680.88,1189.34,1184.07
11년03월3주,1966.39,1847.18,1689.94,1206.40,1203.91
11년03월4주,1948.27,1834.77,1699.31,1217.94,1218.79
11년03월5주,1929.13,1831.61,1695.22,1214.70,1217.02
11년04월1주,1954.81,1817.26,1689.62,1227.33,1233.13
11년04월2주,1937.72,1814.87,1689.57,1233.94,1225.46
11년04월3주,1936.56,1813.49,1687.62,1244.62,1241.50
11년04월4주,1938.56,1824.01,1675.97,1229.43,1241.79
11년05월1주,1974.17,1846.04,1682.93,1266.80,1284.46
11년05월2주,1954.44,1838.20,1628.40,1232.68,1225.20
11년05월3주,1920.07,1801.22,1589.46,1205.50,1204.02
11년05월4주,1885.95,1771.50,1588.27,1189.27,1184.99
11년06월1주,1875.46,1762.01,1585.98,1174.37,1196.81
11년06월2주,1896.92,1768.65,1598.44,1200.36,1222.55
11년06월3주,1883.04,1784.18,1624.56,1211.82,1216.53
11년06월4주,1883.28,1785.26,1633.01,1219.37,1242.57
11년06월5주,1883.40,1763.95,1592.67,1187.65,1230.82
11년07월1주,1879.35,1761.75,1591.25,1174.76,-
11년07월2주,1916.21,1811.06,1624.68,1179.19,-
11년07월3주,1923.78,1833.23,1651.25,1191.51,-
11년07월4주,1922.82,1825.21,1652.32,1192.21,-
11년08월1주,1941.12,1829.67,1649.47,1195.83,-
11년08월2주,1920.05,1821.97,1634.00,1177.01,-
11년08월3주,1895.00,1802.09,1608.15,1152.35,-
11년08월4주,1900.13,1807.89,1599.75,1148.04,-
11년08월5주,1912.48,1808.09,1584.89,1140.83,-
11년09월1주,1964.86,1865.61,1641.50,1182.71,-
11년09월2주,1961.84,1860.08,1632.10,1163.14,-
11년09월3주,1969.42,1863.54,1636.29,1169.06,-
11년09월4주,1968.53,1864.89,1639.08,1171.92,-
11년10월1주,1992.42,1891.02,1676.74,1209.07,-
11년10월2주,1999.50,1897.97,1670.68,1211.22,-
11년10월3주,2007.39,1903.13,1670.28,1219.36,-
11년10월4주,1971.95,1872.38,1650.63,1204.39,-
11년11월1주,1958.36,1850.28,1639.34,1192.59,-
11년11월2주,1934.12,1832.31,1684.41,1224.97,-
11년11월3주,1929.22,1827.01,1698.88,1230.49,-
11년11월4주,1899.99,1793.26,1706.61,1233.58,-
11년11월5주,1869.54,1759.75,1667.27,1201.92,-
11년12월1주,1895.34,1785.92,1692.56,1227.19,-
11년12월2주,1888.82,1783.29,1659.80,1191.17,-
11년12월3주,1899.83,1798.18,1669.61,1195.63,-
11년12월4주,1892.28,1781.95,1629.95,1173.96,-
12년01월1주,1958.79,1841.99,1695.54,1215.93,-
12년01월2주,1987.17,1870.03,1722.91,1233.86,-
12년01월3주,1998.43,1893.25,1746.22,1255.34,-
12년01월4주,1992.01,1881.37,1725.78,1233.64,-
12년02월1주,1981.16,1859.65,1695.83,1203.13,-
12년02월2주,2009.36,1891.73,1720.02,1226.53,-
12년02월3주,2011.83,1899.27,1723.23,1228.59,-
12년02월4주,2046.78,1932.37,1748.53,1261.05,-
12년02월5주,2046.13,1923.30,1725.20,1243.43,-
12년03월1주,2065.83,1959.49,1759.77,1287.12,-
12년03월2주,2072.03,1956.91,1744.12,1265.68,-
12년03월3주,2070.07,1961.16,1747.75,1267.34,-
12년03월4주,2067.54,1957.04,1742.25,1265.14,-
12년04월1주,2106.36,1997.45,1783.14,1307.94,-
12년04월2주,2091.13,1987.03,1766.28,1289.72,-
12년04월3주,2076.33,1973.05,1754.68,1277.42,-
12년04월4주,2035.20,1937.51,1723.79,1257.77,-
12년05월1주,2037.95,1922.76,1711.19,1242.69,-
12년05월2주,2018.59,1922.21,1723.21,1251.72,-
12년05월3주,1979.64,1876.34,1678.68,1209.38,-
12년05월4주,1968.10,1871.18,1683.15,1210.78,-
12년05월5주,1964.39,1848.66,1656.36,1183.44,-
12년06월1주,1968.93,1870.59,1682.97,1209.58,-
12년06월2주,1915.76,1818.27,1640.82,1164.47,-
12년06월3주,1882.71,1789.21,1635.52,1151.51,-
12년06월4주,1810.29,1703.96,1564.75,1092.62,-
12년07월1주,1829.99,1730.69,1607.17,1122.23,-
12년07월2주,1876.70,1765.64,1628.68,1143.26,-
12년07월3주,1903.75,1796.16,1656.37,1170.00,-
12년07월4주,1927.42,1824.87,1665.21,1187.36,-
12년08월1주,1926.13,1819.98,1649.31,1174.91,-
12년08월2주,1970.54,1867.57,1695.33,1218.00,-
12년08월3주,2020.74,1911.45,1717.20,1237.25,-
12년08월4주,2051.61,1951.08,1762.32,1278.52,-
12년08월5주,2004.43,1897.45,1713.27,1239.45,-
12년09월1주,2019.40,1907.48,1768.86,1291.79,-
12년09월2주,2002.87,1896.06,1774.88,1307.15,-
12년09월3주,1997.88,1888.50,1752.39,1286.75,-
12년09월4주,1958.54,1859.86,1701.90,1239.85,-
12년10월1주,1954.15,1830.37,1645.20,1219.64,-
12년10월2주,1999.07,1885.97,1721.40,1259.37,-
12년10월3주,2011.81,1891.26,1720.70,1258.62,-
12년10월4주,1950.16,1838.80,1691.53,1224.03,-
12년10월5주,1899.73,1772.02,1635.56,1180.23,-
12년11월1주,1923.55,1806.64,1686.98,1218.51,-
12년11월2주,1903.46,1789.57,1647.35,1171.52,-
12년11월3주,1918.18,1806.42,1651.23,1182.32,-
12년11월4주,1934.71,1805.51,1627.90,1159.81,-
12년12월1주,1948.07,1823.43,1665.57,1189.39,-
12년12월2주,1923.71,1805.77,1663.15,1178.75,-
12년12월3주,1910.26,1799.57,1647.72,1164.12,-
12년12월4주,1899.18,1785.11,1622.59,1158.06,-
13년01월1주,1909.15,1780.27,1602.36,1143.52,-
13년01월2주,1953.25,1834.49,1658.94,1197.86,-
13년01월3주,1945.81,1829.60,1661.94,1207.50,-
13년01월4주,1918.37,1813.35,1647.39,1199.61,-
13년01월5주,1925.31,1810.95,1630.66,1176.65,-
13년02월1주,1990.41,1878.61,1687.95,1236.35,-
13년02월2주,2040.53,1921.37,1730.38,1266.57,-
13년02월3주,2042.15,1936.44,1733.85,1278.92,-
13년02월4주,2000.68,1890.46,1679.00,1221.96,-
13년03월1주,2013.78,1905.13,1707.10,1247.76,-
13년03월2주,1980.10,1869.75,1649.32,1198.91,-
13년03월3주,1968.84,1861.17,1650.89,1194.04,-
13년03월4주,1949.44,1831.25,1614.59,1159.38,-
13년04월1주,1982.62,1838.54,1616.03,1152.27,-
13년04월2주,1962.08,1850.59,1652.97,1185.39,-
13년04월3주,1924.00,1806.12,1619.52,1152.54,-
13년04월4주,1862.88,1755.51,1570.95,1111.75,-
13년05월1주,1861.04,1749.68,1560.00,1091.83,-
13년05월2주,1918.85,1787.74,1598.43,1131.94,-
13년05월3주,1903.54,1790.26,1608.01,1130.81,-
13년05월4주,1913.54,1806.89,1615.12,1139.38,-
13년05월5주,1889.05,1766.60,1573.94,1103.18,-
13년06월1주,1943.88,1815.66,1612.85,1137.72,-
13년06월2주,1938.59,1830.84,1624.15,1149.34,-
13년06월3주,1950.84,1842.24,1640.69,1156.24,-
13년06월4주,1916.20,1806.42,1608.99,1127.86,-
13년07월1주,1942.35,1819.68,1611.23,1137.66,-
13년07월2주,1972.85,1857.91,1658.36,1180.00,-
13년07월3주,1994.78,1878.97,1670.32,1191.38,-
13년07월4주,1977.65,1875.48,1654.65,1186.66,-
13년07월5주,1934.54,1805.25,1611.46,1147.58,-
13년08월1주,1892.84,1808.91,1642.94,1194.80,-
13년08월2주,1912.06,1809.52,1644.79,1194.30,-
13년08월3주,1931.71,1828.70,1653.38,1207.91,-
13년08월4주,1907.91,1783.51,1600.04,1171.19,-
13년09월1주,1976.39,1836.20,1650.25,1208.89,-
13년09월2주,1983.92,1853.32,1670.81,1218.21,-
13년09월3주,1954.00,1821.82,1641.09,1189.65,-
13년09월4주,1911.34,1784.07,1598.74,1145.13,-
13년10월1주,1893.40,1752.98,1567.47,1122.66,-
13년10월2주,1906.37,1781.86,1624.52,1158.22,-
13년10월3주,1931.77,1793.36,1644.80,1171.83,-
13년10월4주,1910.28,1780.53,1623.94,1156.39,-
13년10월5주,1848.96,1705.36,1547.63,1093.17,-
13년11월1주,1890.10,1746.50,1606.28,1151.51,-
13년11월2주,1877.44,1750.80,1610.05,1139.46,-
13년11월3주,1911.55,1772.11,1613.80,1147.33,-
13년11월4주,1881.08,1740.34,1579.11,1112.83,-
13년12월1주,1915.93,1768.90,1622.93,1151.51,-
13년12월2주,1932.37,1794.80,1652.94,1178.50,-
13년12월3주,1934.04,1798.30,1639.57,1174.46,-
13년12월4주,1884.47,1759.14,1600.25,1142.38,-
14년01월1주,1913.04,1747.19,1574.39,1119.71,-
14년01월2주,1926.51,1785.84,1612.82,1157.72,-
14년01월3주,1918.75,1783.06,1608.55,1138.79,-
14년01월4주,1920.17,1780.52,1598.99,1130.47,-
14년01월5주,1886.37,1734.41,1549.66,1087.85,-
14년02월1주,1944.72,1778.65,1602.32,1140.30,-
14년02월2주,1928.54,1787.02,1613.76,1144.85,-
14년02월3주,1947.02,1800.95,1614.78,1141.70,-
14년02월4주,1912.91,1769.10,1580.26,1110.68,-
14년03월1주,1910.50,1793.19,1606.83,1141.56,-
14년03월2주,1935.63,1802.01,1610.58,1140.23,-
14년03월3주,1932.67,1796.08,1597.78,1118.41,-
14년03월4주,1900.97,1773.02,1569.15,1093.91,-
14년04월1주,1915.89,1735.86,1554.15,1063.24,-
14년04월2주,1907.62,1774.52,1581.17,1101.62,-
14년04월3주,1925.67,1777.34,1580.57,1098.44,-
14년04월4주,1908.57,1771.94,1564.73,1087.11,-
14년04월5주,1908.84,1759.76,1550.38,1071.24,-
14년05월1주,1911.32,1768.38,1568.64,1095.24,-
14년05월2주,1906.28,1761.56,1563.77,1081.73,-
14년05월3주,1909.46,1766.42,1560.24,1079.32,-
14년05월4주,1881.90,1735.73,1529.29,1038.65,-
14년06월1주,1917.54,1768.94,1551.34,1056.79,-
14년06월2주,1903.01,1760.03,1542.60,1058.77,-
14년06월3주,1890.80,1756.33,1535.82,1053.78,-
14년06월4주,1884.30,1750.90,1536.16,1059.91,-
14년07월1주,1916.49,1758.57,1529.94,1024.82,-
14년07월2주,1934.05,1794.19,1552.97,1029.16,-
14년07월3주,1904.56,1773.46,1529.15,1017.51,-
14년07월4주,1902.41,1762.53,1523.03,1014.18,-
14년07월5주,1862.25,1722.45,1491.59,987.04,-
14년08월1주,1857.31,1730.73,1526.91,1019.04,-
14년08월2주,1830.83,1704.92,1519.34,1014.66,-
14년08월3주,1823.53,1690.77,1506.16,1003.82,-
14년08월4주,1796.87,1666.43,1475.01,976.37,-
14년09월1주,1837.56,1677.68,1488.94,983.79,-
14년09월2주,1831.07,1694.78,1503.05,991.56,-
14년09월3주,1823.29,1681.80,1485.77,984.86,-
14년09월4주,1816.19,1672.90,1472.08,965.92,-
14년10월1주,1815.08,1661.92,1453.95,952.93,-
14년10월2주,1831.10,1695.03,1484.55,980.10,-
14년10월3주,1802.85,1664.73,1459.91,952.61,-
14년10월4주,1754.14,1623.30,1427.25,923.15,-
14년10월5주,1733.51,1585.47,1385.21,884.11,-
14년11월1주,1737.80,1620.72,1422.71,923.47,-
14년11월2주,1727.53,1609.48,1417.47,919.74,-
14년11월3주,1720.84,1585.53,1399.10,910.46,-
14년11월4주,1695.22,1553.68,1368.57,878.53,-
14년12월1주,1692.79,1535.92,1349.19,867.81,-
14년12월2주,1635.52,1504.70,1327.17,836.46,-
14년12월3주,1590.63,1449.46,1284.70,793.91,-
14년12월4주,1537.47,1416.51,1257.62,764.38,-
14년12월5주,1544.17,1379.90,1215.17,718.63,-
15년01월1주,1532.99,1382.63,1223.16,726.12,-
15년01월2주,1462.34,1317.23,1159.08,657.13,-
15년01월3주,1443.67,1302.31,1152.88,645.44,-
15년01월4주,1416.24,1259.02,1106.59,605.70,-
15년02월1주,1496.69,1321.74,1154.26,665.70,-
15년02월2주,1526.80,1380.85,1208.03,716.36,-
15년02월3주,1557.61,1396.78,1224.40,729.93,-
15년02월4주,1562.41,1390.81,1215.59,735.25,-
15년03월1주,1599.92,1433.83,1253.58,761.20,-
15년03월2주,1599.48,1446.07,1246.22,746.04,-
15년03월3주,1579.09,1433.48,1226.98,719.27,-
15년03월4주,1568.93,1412.94,1204.98,693.00,-
15년04월1주,1578.51,1393.29,1185.03,649.79,-
15년04월2주,1554.64,1418.45,1208.44,697.21,-
15년04월3주,1568.05,1420.74,1210.83,689.94,-
15년04월4주,1599.70,1436.62,1224.74,706.39,-
15년04월5주,1597.46,1430.63,1214.85,701.17,-
15년05월1주,1646.47,1475.06,1249.08,736.15,-
15년05월2주,1650.15,1498.68,1276.02,758.55,-
15년05월3주,1639.57,1508.36,1277.43,762.83,-
15년05월4주,1655.03,1496.10,1258.65,742.43,-
15년06월1주,1652.60,1478.31,1237.53,730.29,-
15년06월2주,1651.08,1515.09,1263.15,736.76,-
15년06월3주,1662.85,1523.57,1260.57,741.00,-
15년06월4주,1660.31,1511.02,1249.05,731.90,-
15년07월1주,1648.34,1475.10,1215.04,705.46,-
15년07월2주,1638.48,1483.64,1222.60,708.84,-
15년07월3주,1612.40,1473.03,1203.29,684.29,-
15년07월4주,1634.23,1476.73,1209.33,695.68,-
15년07월5주,1604.00,1441.91,1166.00,665.13,-
15년08월1주,1604.22,1457.41,1177.18,667.29,-
15년08월2주,1567.57,1439.87,1152.38,640.76,-
15년08월3주,1603.61,1437.68,1154.78,642.62,-
15년08월4주,1539.07,1387.54,1113.77,612.17,-
15년09월1주,1535.05,1378.60,1120.55,607.48,-
